GeneID,GeneName,Egg,1Cell,16Cells,128c,3.5hpf,5.3hpf,#geneid.1,gene name.1,Egg.1,1Cell.1,16Cells.1,128c.1,3.5hpf.1,5.3hpf.1
ENSDARG00000043213,adam17a,37.4033,42.3449,42.3418,34.6975,40.9357,34.597,ENSDARG00000043213,adam17a,4.28157,5.68818,26.5932,26.8603,35.8687,22.4487
ENSDARG00000070801,opa1,47.81122,72.11451,77.3013,64.3034,54.58017,6.190046,ENSDARG00000070801,opa1,13.10108,17.91725,44.5351,53.09874,45.5976,4.42245
ENSDARG00000010862,amt,28.05565,28.71716,28.44232,34.17488,14.37166,2.087834,ENSDARG00000010862,amt,11.23579,12.69849,56.7012,61.0088,25.09664,2.99565
ENSDARG00000074915,etaa1,115.864,146.763,132.081,146.926,41.2454,11.1103,ENSDARG00000074915,etaa1,6.46629,9.25172,29.9062,40.4812,38.452,12.061
ENSDARG00000023152,wdr73,86.437,70.4572,84.2967,79.9384,40.8405,6.0368,ENSDARG00000023152,wdr73,6.39096,16.3108,30.5579,44.3185,40.1869,5.94853
ENSDARG00000054501,stambpa,34.0354,39.13731,33.26617,43.1426,24.37843,6.82318,ENSDARG00000054501,stambpa,11.23205,11.59846,36.37299,45.7982,45.30166,10.86868
ENSDARG00000024693,lysmd3,169.767,183.463,166.367,148.724,162.54,32.7498,ENSDARG00000024693,lysmd3,33.5037,37.99,143.731,149.226,166.161,50.0915
ENSDARG00000009250,etfb,61.3048,75.0947,68.616658,73.0291,38.3875,10.9741,ENSDARG00000009250,etfb,4.16568,3.93823,8.72265,14.7417,13.7245,20.5554
ENSDARG00000105045,bmpr1ab,24.8387,25.5673,18.8883,22.3964,13.8873,15.3368,ENSDARG00000105045,bmpr1ab,1.85046,3.23131,20.3179,22.3302,18.1956,13.5552
ENSDARG00000043734,trmu,52.4977,51.374,41.2146,39.2329,43.521,12.2484,ENSDARG00000043734,trmu,11.5116,9.60912,31.8243,27.3903,30.247,6.61966
ENSDARG00000043732,cops4,47.1156,38.9574,41.2097,38.5192,33.4673,15.5286,ENSDARG00000043732,cops4,15.4307,24.1044,49.306,49.562,53.1614,19.2476
ENSDARG00000105276,grb2a,55.61,59.8343,41.607732,38.9588,23.22692,7.57451,ENSDARG00000105276,grb2a,4.91947,4.0572,15.3348,17.9713,16.9036,3.57808
ENSDARG00000036155,gla,32.09006,38.5349,50.1225,47.55407,19.767424,5.792737,ENSDARG00000036155,gla,2.41808,1.77472,22.23382,26.30917,20.94502,3.0545
ENSDARG00000069328,si:dkey-12e7.1,45.6121,53.0188,48.7828,58.2889,38.7992,8.71515,ENSDARG00000069328,si:dkey-12e7.1,3.29709,4.20736,41.5453,43.685,45.1595,5.57117
ENSDARG00000044513,tpst1l,41.71,51.2481,34.9871,42.0287,34.7517,7.98824,ENSDARG00000044513,tpst1l,3.50424,3.87561,25.1275,29.3746,29.7375,7.62214
ENSDARG00000006915,arl8ba,101.2935,105.8304,100.4293,67.59756,37.3214,7.63142,ENSDARG00000006915,arl8ba,5.90919,7.65488,46.52166,57.13391,41.65744,5.86051
ENSDARG00000002298,ankrd22,88.3096,64.1945,112.825,86.3144,43.1386,7.5867,ENSDARG00000002298,ankrd22,4.73376,8.23729,35.8255,41.1121,42.9311,6.62209
ENSDARG00000100072,mgrn1a,48.97081,60.84244,73.51464,64.59025,47.15361,24.90893,ENSDARG00000100072,mgrn1a,11.8424,11.9986,59.18448,60.20759,52.107436,25.044898
ENSDARG00000103207,rab11fip4b,111.182,82.7936,110.6883,74.7696,50.82353,4.90147,ENSDARG00000103207,rab11fip4b,10.58002,13.86283,35.39152,37.168558,38.09375616,3.38691
ENSDARG00000005993,prc1b,86.0176,54.97669,89.88946,78.937,39.883999,6.61444,ENSDARG00000005993,prc1b,5.84864,7.8065,33.3123,35.2424,26.1432,2.68653
ENSDARG00000008573,fam20b,29.703477,36.773983,29.6156944,30.972614,23.9654722,7.169329,ENSDARG00000008573,fam20b,7.5719,6.0162,30.337398,35.02644,32.610174,8.907356
ENSDARG00000034883,acbd5a,55.267021,38.806279,57.153986,41.082271,40.146125,7.589414,ENSDARG00000034883,acbd5a,12.732921,16.986786,48.11706,47.7643,45.694752,5.1145
ENSDARG00000062363,phex,388.9609,366.206721,402.210458,417.374264,124.0696,12.61281,ENSDARG00000062363,phex,17.85603,23.43495,51.86341,58.66585,43.96168,9.47842
ENSDARG00000007065,mrps18b,89.6399,87.9247,85.5857,78.6981,63.3311,45.4638,ENSDARG00000007065,mrps18b,19.9022,19.0927,46.5827,56.6352,71.3335,44.8342
ENSDARG00000063249,mrpl9,24.788,27.2184,30.1041,22.5097,7.4092,5.9336,ENSDARG00000063249,mrpl9,6.02133,3.72544,14.4666,21.5714,16.0228,5.02881
ENSDARG00000035607,ankle2,75.3472,90.36155,86.665703,103.95827,50.52129,16.456326,ENSDARG00000035607,ankle2,7.60013,10.4148,26.51647,34.75264,51.4479,6.57549
ENSDARG00000004851,hinfp,95.6684,95.2619,89.5468,76.808,89.9309,13.32144,ENSDARG00000004851,hinfp,23.00736,23.80425,129.397,115.6539,100.5006,12.47875
ENSDARG00000010300,traf3ip1,55.567,39.22633,70.6037,78.1672,16.82648,10.22914,ENSDARG00000010300,traf3ip1,7.420791,6.05285,14.7341,16.4011,24.8037,4.68279
ENSDARG00000025421,tdrd3,111.860567,108.149,115.362,113.576,95.4437,31.456,ENSDARG00000025421,tdrd3,27.703072,24.5307,52.75683792,61.3657,66.6252,22.773
ENSDARG00000025420,fzd5,23.3537,24.5817,19.0901,28.5749,15.5013,1.61172,ENSDARG00000025420,fzd5,6.60022,6.94851,46.6878,48.6699,39.1812,3.01281
ENSDARG00000079015,brca2,149.146,138.07,175.304,155.162,79.5685,29.0434,ENSDARG00000079015,brca2,4.9844,4.48328,23.8416,43.4015,52.4323,16.5038
